"id","region","name","group_title","tvg_id","last_status","stream_url"
"sky_news_weather_uk","UK","Sky News Weather","Science","SkyNewsWeather.uk@SD","200","https://distro001-gb-hls1-prd.delivery.skycdp.com/easel_cdn/ngrp:weather_loop.stream_all/playlist.m3u8"
"talksport_1080p_uk","UK","talkSPORT (1080p)","Sports","talkSPORT.uk@SD","206","https://af7a8b4e.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/TEctZ2JfdGFsa1NQT1JUX0hMUw/playlist.m3u8"
"3_kmtv_us_geo_us","US","3 KMTV (US) Geo","General","","206","https://amg01438-ewscripps-amg01438c9-lg-us-4343.playouts.now.amagi.tv/playlist.m3u8"
"abc_news_live_1_720p_us","US","ABC News Live 1 (720p)","News","ABCNewsLive1.us@SD","200","https://abcnews-streams.akamaized.net/hls/live/2023560/abcnewshudson1/master_4000.m3u8"
"abc_news_live_10_720p_us","US","ABC News Live 10 (720p)","News","ABCNewsLive10.us@SD","200","https://abcnews-streams.akamaized.net/hls/live/2023569/abcnewshudson10/master_4000.m3u8"
"abc_news_live_2_720p_us","US","ABC News Live 2 (720p)","News","ABCNewsLive2.us@SD","200","https://abcnews-streams.akamaized.net/hls/live/2023561/abcnewshudson2/master_4000.m3u8"
"abc_news_live_3_720p_us","US","ABC News Live 3 (720p)","News","ABCNewsLive3.us@SD","200","https://abcnews-streams.akamaized.net/hls/live/2023562/abcnewshudson3/master_4000.m3u8"
"abc_news_live_4_720p_us","US","ABC News Live 4 (720p)","News","ABCNewsLive4.us@SD","200","https://abcnews-streams.akamaized.net/hls/live/2023563/abcnewshudson4/master_4000.m3u8"
"abc_news_live_5_720p_us","US","ABC News Live 5 (720p)","News","ABCNewsLive5.us@SD","200","https://abcnews-streams.akamaized.net/hls/live/2023564/abcnewshudson5/master_4000.m3u8"
"abc_news_live_6_720p_us","US","ABC News Live 6 (720p)","News","ABCNewsLive6.us@SD","200","https://abcnews-streams.akamaized.net/hls/live/2023565/abcnewshudson6/master_4000.m3u8"
